time,V(n001),Ig(M1),d(V(n001)),,Cgs,,,,
0.00E+00,-1.00E+00,-5.40E-07,0.00E+00,,-1.41E-16,,,,
1.95E-17,-1.00E+00,-4.31E-07,3.05E+09,,-1.41E-16,,,,
3.91E-17,-1.00E+00,-3.74E-07,1.02E+09,,-3.68E-16,,,,
7.81E-17,-1.00E+00,-3.38E-07,1.02E+09,,-3.33E-16,,,,
1.56E-16,-1.00E+00,-3.09E-07,1.02E+09,,-3.04E-16,,,,
3.12E-16,-1.00E+00,-2.61E-07,8.90E+08,,-2.93E-16,,,,
6.25E-16,-1.00E+00,-1.65E-07,1.02E+09,,-1.62E-16,,,,
1.25E-15,-1.00E+00,1.51E-08,1.02E+09,,1.48E-17,,,,
2.50E-15,-1.00E+00,3.47E-07,1.00E+09,,3.47E-16,,,,
5.00E-15,-1.00E+00,9.44E-07,1.00E+09,,9.42E-16,,,,
1.00E-14,-1.00E+00,1.98E-06,1.00E+09,,1.98E-15,,,,
2.00E-14,-1.00E+00,3.64E-06,9.99E+08,,3.64E-15,,,,
4.00E-14,-1.00E+00,5.87E-06,9.99E+08,,5.88E-15,,,,
8.00E-14,-1.00E+00,8.12E-06,1.00E+09,,8.12E-15,,,,
1.60E-13,-1.00E+00,9.54E-06,1.00E+09,,9.54E-15,,,,
3.20E-13,-1.00E+00,9.94E-06,1.00E+09,,9.94E-15,,,,
2.88E-11,-9.71E-01,9.71E-06,1.00E+09,,9.71E-15,,,,
5.73E-11,-9.43E-01,9.43E-06,1.00E+09,,9.43E-15,,,,
8.58E-11,-9.14E-01,9.08E-06,1.00E+09,,9.08E-15,,,,
1.14E-10,-8.86E-01,8.67E-06,1.00E+09,,8.67E-15,,,,
1.43E-10,-8.57E-01,8.20E-06,1.00E+09,,8.20E-15,,,,
1.71E-10,-8.29E-01,7.67E-06,1.00E+09,,7.67E-15,,,,
2.00E-10,-8.00E-01,7.07E-06,1.00E+09,,7.07E-15,,,,
2.17E-10,-7.83E-01,6.81E-06,1.00E+09,,6.81E-15,,,,
2.33E-10,-7.67E-01,6.56E-06,1.00E+09,,6.56E-15,,,,
2.50E-10,-7.50E-01,6.32E-06,1.00E+09,,6.32E-15,,,,
2.67E-10,-7.33E-01,6.09E-06,1.00E+09,,6.09E-15,,,,
2.84E-10,-7.16E-01,5.87E-06,1.00E+09,,5.87E-15,,,,
3.00E-10,-7.00E-01,5.66E-06,1.00E+09,,5.66E-15,,,,
3.17E-10,-6.83E-01,5.47E-06,1.00E+09,,5.47E-15,,,,
3.50E-10,-6.50E-01,5.11E-06,1.00E+09,,5.11E-15,,,,
3.83E-10,-6.17E-01,4.78E-06,1.00E+09,,4.78E-15,,,,
4.17E-10,-5.83E-01,4.48E-06,1.00E+09,,4.48E-15,,,,
4.50E-10,-5.50E-01,4.22E-06,1.00E+09,,4.22E-15,,,,
4.83E-10,-5.17E-01,3.99E-06,1.00E+09,,3.99E-15,,,,
5.16E-10,-4.84E-01,3.80E-06,1.00E+09,,3.80E-15,,,,
5.49E-10,-4.51E-01,3.63E-06,1.00E+09,,3.63E-15,,,,
5.90E-10,-4.10E-01,3.45E-06,1.00E+09,,3.45E-15,,,,
6.31E-10,-3.69E-01,3.29E-06,1.00E+09,,3.29E-15,,,,
6.72E-10,-3.28E-01,3.14E-06,1.00E+09,,3.14E-15,,,,
7.13E-10,-2.87E-01,3.01E-06,1.00E+09,,3.01E-15,,,,
7.55E-10,-2.45E-01,2.90E-06,1.00E+09,,2.90E-15,,,,
7.96E-10,-2.04E-01,2.81E-06,1.00E+09,,2.81E-15,,,,
8.37E-10,-1.63E-01,2.73E-06,1.00E+09,,2.73E-15,,,,
8.97E-10,-1.03E-01,2.64E-06,1.00E+09,,2.64E-15,,,,
9.57E-10,-4.29E-02,2.55E-06,1.00E+09,,2.55E-15,,,,
1.02E-09,1.73E-02,2.47E-06,1.00E+09,,2.47E-15,,,,
1.08E-09,7.76E-02,2.40E-06,1.00E+09,,2.40E-15,,,,
1.14E-09,1.38E-01,2.34E-06,1.00E+09,,2.34E-15,,,,
1.20E-09,1.98E-01,2.28E-06,1.00E+09,,2.28E-15,,,,
1.26E-09,2.58E-01,2.24E-06,1.00E+09,,2.24E-15,,,,
1.27E-09,2.70E-01,2.23E-06,1.00E+09,,2.23E-15,,,,
1.28E-09,2.81E-01,2.23E-06,1.00E+09,,2.23E-15,,,,
1.29E-09,2.93E-01,2.22E-06,1.00E+09,,2.22E-15,,,,
1.30E-09,3.04E-01,2.22E-06,1.00E+09,,2.22E-15,,,,
1.32E-09,3.16E-01,2.23E-06,1.00E+09,,2.23E-15,,,,
1.33E-09,3.27E-01,2.23E-06,1.00E+09,,2.23E-15,,,,
1.34E-09,3.38E-01,2.24E-06,1.00E+09,,2.24E-15,,,,
1.35E-09,3.45E-01,2.25E-06,1.00E+09,,2.25E-15,,,,
1.35E-09,3.52E-01,2.26E-06,1.00E+09,,2.26E-15,,,,
1.36E-09,3.59E-01,2.27E-06,1.00E+09,,2.27E-15,,,,
1.37E-09,3.66E-01,2.30E-06,1.00E+09,,2.30E-15,,,,
1.37E-09,3.73E-01,2.32E-06,1.00E+09,,2.32E-15,,,,
1.38E-09,3.80E-01,2.35E-06,1.00E+09,,2.35E-15,,,,
1.39E-09,3.87E-01,2.39E-06,1.00E+09,,2.39E-15,,,,
1.39E-09,3.93E-01,2.42E-06,1.00E+09,,2.42E-15,,,,
1.40E-09,3.98E-01,2.46E-06,1.00E+09,,2.46E-15,,,,
1.40E-09,4.04E-01,2.51E-06,1.00E+09,,2.51E-15,,,,
1.41E-09,4.10E-01,2.57E-06,1.00E+09,,2.57E-15,,,,
1.42E-09,4.15E-01,2.64E-06,1.00E+09,,2.64E-15,,,,
1.42E-09,4.21E-01,2.72E-06,1.00E+09,,2.72E-15,,,,
1.43E-09,4.26E-01,2.80E-06,1.00E+09,,2.80E-15,,,,
1.43E-09,4.35E-01,2.96E-06,1.00E+09,,2.96E-15,,,,
1.44E-09,4.43E-01,3.16E-06,1.00E+09,,3.16E-15,,,,
1.45E-09,4.51E-01,3.39E-06,1.00E+09,,3.39E-15,,,,
1.46E-09,4.60E-01,3.65E-06,1.00E+09,,3.65E-15,,,,
1.47E-09,4.68E-01,3.95E-06,1.00E+09,,3.95E-15,,,,
1.48E-09,4.77E-01,4.29E-06,1.00E+09,,4.29E-15,,,,
1.48E-09,4.85E-01,4.66E-06,1.00E+09,,4.66E-15,,,,
1.49E-09,4.91E-01,4.94E-06,1.00E+09,,4.94E-15,,,,
1.50E-09,4.97E-01,5.21E-06,1.00E+09,,5.21E-15,,,,
1.50E-09,5.03E-01,5.49E-06,1.00E+09,,5.49E-15,,,,
1.51E-09,5.08E-01,5.76E-06,1.00E+09,,5.76E-15,,,,
1.51E-09,5.14E-01,6.02E-06,1.00E+09,,6.02E-15,,,,
1.52E-09,5.20E-01,6.28E-06,1.00E+09,,6.28E-15,,,,
1.53E-09,5.26E-01,6.54E-06,1.00E+09,,6.54E-15,,,,
1.53E-09,5.33E-01,6.84E-06,1.00E+09,,6.84E-15,,,,
1.54E-09,5.41E-01,7.11E-06,1.00E+09,,7.11E-15,,,,
1.55E-09,5.48E-01,7.36E-06,1.00E+09,,7.36E-15,,,,
1.56E-09,5.55E-01,7.58E-06,1.00E+09,,7.58E-15,,,,
1.56E-09,5.62E-01,7.79E-06,1.00E+09,,7.79E-15,,,,
1.57E-09,5.70E-01,7.97E-06,1.00E+09,,7.97E-15,,,,
1.58E-09,5.77E-01,8.13E-06,1.00E+09,,8.13E-15,,,,
1.58E-09,5.84E-01,8.27E-06,1.00E+09,,8.27E-15,,,,
1.59E-09,5.92E-01,8.40E-06,1.00E+09,,8.40E-15,,,,
1.60E-09,5.99E-01,8.52E-06,1.00E+09,,8.52E-15,,,,
1.61E-09,6.07E-01,8.63E-06,1.00E+09,,8.63E-15,,,,
1.61E-09,6.14E-01,8.73E-06,1.00E+09,,8.73E-15,,,,
1.62E-09,6.22E-01,8.81E-06,1.00E+09,,8.81E-15,,,,
1.63E-09,6.30E-01,8.89E-06,1.00E+09,,8.89E-15,,,,
1.64E-09,6.42E-01,8.99E-06,1.00E+09,,8.99E-15,,,,
1.66E-09,6.55E-01,9.10E-06,1.00E+09,,9.10E-15,,,,
1.67E-09,6.68E-01,9.19E-06,1.00E+09,,9.19E-15,,,,
1.68E-09,6.81E-01,9.27E-06,1.00E+09,,9.27E-15,,,,
1.69E-09,6.94E-01,9.34E-06,1.00E+09,,9.34E-15,,,,
1.71E-09,7.07E-01,9.41E-06,1.00E+09,,9.41E-15,,,,
1.72E-09,7.19E-01,9.46E-06,1.00E+09,,9.46E-15,,,,
1.75E-09,7.54E-01,9.60E-06,1.00E+09,,9.60E-15,,,,
1.79E-09,7.89E-01,9.73E-06,1.00E+09,,9.73E-15,,,,
1.82E-09,8.24E-01,9.84E-06,1.00E+09,,9.84E-15,,,,
1.86E-09,8.59E-01,9.94E-06,1.00E+09,,9.94E-15,,,,
1.89E-09,8.94E-01,1.00E-05,1.00E+09,,1.00E-14,,,,
1.93E-09,9.29E-01,1.01E-05,1.00E+09,,1.01E-14,,,,
1.96E-09,9.63E-01,1.02E-05,1.00E+09,,1.02E-14,,,,
1.97E-09,9.65E-01,1.02E-05,1.00E+09,,1.02E-14,,,,
2.00E-09,9.99E-01,1.02E-05,1.00E+09,,1.02E-14,,,,
2.00E-09,1.00E+00,1.03E-05,1.00E+09,,1.03E-14,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
